Date,Open,High,Low,Close,Adj Close,Volume
2021-03-24,0.730000,0.750000,0.710000,0.720000,0.720000,6812300
2021-03-25,0.680000,0.710000,0.640000,0.700000,0.700000,6656400
2021-03-26,0.730000,0.740000,0.680000,0.710000,0.710000,5396900
2021-03-29,0.700000,0.700000,0.670000,0.680000,0.680000,5882900
2021-03-30,0.680000,0.690000,0.650000,0.680000,0.680000,4639100
2021-03-31,0.680000,0.710000,0.680000,0.700000,0.700000,4040700
2021-04-01,0.700000,0.730000,0.690000,0.720000,0.720000,3381400
2021-04-05,0.720000,0.720000,0.680000,0.690000,0.690000,4665200
2021-04-06,0.690000,0.720000,0.680000,0.700000,0.700000,4506400
2021-04-07,0.700000,0.710000,0.680000,0.680000,0.680000,3514800
2021-04-08,0.690000,0.690000,0.660000,0.660000,0.660000,4501100
2021-04-09,0.670000,0.670000,0.650000,0.650000,0.650000,2896100
2021-04-12,0.660000,0.690000,0.650000,0.660000,0.660000,5014900
2021-04-13,0.650000,0.660000,0.630000,0.650000,0.650000,5953300
2021-04-14,0.640000,0.710000,0.640000,0.700000,0.700000,7101700
2021-04-15,0.690000,0.700000,0.660000,0.670000,0.670000,3400300
2021-04-16,0.640000,0.680000,0.640000,0.650000,0.650000,4662300
2021-04-19,0.640000,0.650000,0.600000,0.610000,0.610000,7108400
2021-04-20,0.620000,0.620000,0.560000,0.580000,0.580000,5953800
2021-04-21,0.560000,0.600000,0.550000,0.580000,0.580000,3775000
2021-04-22,0.590000,0.600000,0.570000,0.600000,0.600000,4462700
2021-04-23,0.600000,0.620000,0.580000,0.590000,0.590000,3229600
2021-04-26,0.590000,0.610000,0.590000,0.610000,0.610000,4891200
2021-04-27,0.620000,0.690000,0.610000,0.660000,0.660000,6482000
2021-04-28,0.670000,0.710000,0.660000,0.690000,0.690000,5565300
2021-04-29,0.710000,0.710000,0.670000,0.680000,0.680000,3994000
2021-04-30,0.670000,0.680000,0.660000,0.670000,0.670000,2372600
2021-05-03,0.660000,0.670000,0.650000,0.670000,0.670000,3473500
2021-05-04,0.650000,0.690000,0.630000,0.670000,0.670000,4604600
2021-05-05,0.680000,0.790000,0.680000,0.740000,0.740000,11407600
2021-05-06,0.740000,0.740000,0.700000,0.720000,0.720000,5620000
2021-05-07,0.720000,0.740000,0.690000,0.720000,0.720000,3603700
2021-05-10,0.720000,0.730000,0.680000,0.680000,0.680000,4623300
2021-05-11,0.650000,0.690000,0.650000,0.670000,0.670000,3461100
2021-05-12,0.670000,0.720000,0.670000,0.690000,0.690000,5936900
2021-05-13,0.690000,0.690000,0.650000,0.670000,0.670000,3626100
